epoch,0.0,0.2,0.4,0.6,0.8
1,382.2721,379.0153,383.2288,385.389,427.7736
2,123.7106,132.7545,144.2025,164.1589,225.014
3,78.9459,87.1125,99.9896,121.7682,186.6172
4,58.6476,67.6427,80.5911,102.7799,166.3268
5,47.6802,57.1159,69.3702,92.5107,154.7448
6,39.3465,50.1343,62.5925,85.5177,147.4157
7,27.7347,44.5178,57.6315,80.0415,142.1855
8,24.1965,40.0739,53.5823,75.9357,137.941
9,21.3819,31.6562,50.3767,73.2368,134.0518
10,20.4184,29.3032,42.8132,70.5935,131.9314
11,19.7051,27.14,40.6223,63.3395,129.8612
12,19.405,26.4911,39.2337,60.2896,128.2235
13,19.3121,25.841,37.4578,58.8741,126.9016
14,19.2882,25.8019,36.9267,57.8683,125.5284
15,19.2822,25.6396,36.4384,56.8258,123.6734
16,19.2807,25.5154,36.0485,55.8079,123.0805
17,19.2803,25.3361,35.8773,55.3432,122.1562
18,19.2802,25.3736,35.8521,54.47,120.7878
19,19.2802,25.3095,35.831,53.9149,113.2308
20,19.2802,25.2481,35.6694,52.9891,108.9154
21,19.2802,25.1851,35.7335,52.6702,106.714
22,19.2802,25.1898,35.6271,51.179,104.7453
23,19.2802,25.1818,35.7055,50.4802,103.7
24,19.2802,25.1887,35.7245,50.3336,101.8067
25,19.2802,25.2288,35.6223,50.1065,100.7357
26,19.2802,25.1962,35.7434,49.7804,99.557
27,19.2802,25.3071,35.7068,49.58,98.8811
28,19.2802,25.2142,35.7489,49.3681,98.3177
29,19.2802,25.147,35.611,49.2363,98.1601
30,19.2802,25.1389,35.6404,48.8817,97.6273
31,19.2802,25.1808,35.6683,49.2228,97.7815
32,19.2802,25.1633,35.6838,48.6382,97.7441
33,19.2802,25.1189,35.7172,48.9497,97.8721
34,19.2802,25.169,35.6657,48.7176,97.7207
35,19.2802,25.2267,35.6877,48.6228,97.86
36,19.2802,25.1788,35.8365,48.5895,97.996
37,19.2802,25.1763,35.8139,49.0148,97.474
38,19.2802,25.2238,35.7911,48.5874,97.2345
39,19.2802,25.1112,35.5718,49.1229,97.6892
40,19.2802,25.1762,35.7067,48.7651,97.7304
