epoch,train_ppl,valid_ppl,test_ppl
1,382.2721,218.6241,
2,123.7106,111.7265,
3,78.9459,86.1693,
4,58.6476,79.3349,
5,47.6802,77.2786,
6,39.3465,79.6797,
7,27.7347,72.8556,
8,24.1965,74.2652,
9,21.3819,72.5249,
10,20.4184,73.3575,
11,19.7051,73.3071,
12,19.4050,73.1391,
13,19.3121,73.0999,
14,19.2882,73.0908,
15,19.2822,73.0885,
16,19.2807,73.0880,
17,19.2803,73.0879,
18,19.2802,73.0879,
19,19.2802,73.0879,
20,19.2802,73.0879,
21,19.2802,73.0879,
22,19.2802,73.0879,
23,19.2802,73.0879,
24,19.2802,73.0879,
25,19.2802,73.0879,
26,19.2802,73.0879,
27,19.2802,73.0879,
28,19.2802,73.0879,
29,19.2802,73.0879,
30,19.2802,73.0879,
31,19.2802,73.0879,
32,19.2802,73.0879,
33,19.2802,73.0879,
34,19.2802,73.0879,
35,19.2802,73.0879,
36,19.2802,73.0879,
37,19.2802,73.0879,
38,19.2802,73.0879,
39,19.2802,73.0879,
40,19.2802,73.0879,
test,,,48.6051
