epoch,train_ppl,valid_ppl,test_ppl
1,379.0153,207.7665,
2,132.7545,112.2956,
3,87.1125,89.4515,
4,67.6427,79.7221,
5,57.1159,76.5878,
6,50.1343,74.5498,
7,44.5178,72.3280,
8,40.0739,72.6791,
9,31.6562,64.8315,
10,29.3032,65.0429,
11,27.1400,64.0780,
12,26.4911,64.1926,
13,25.8410,63.9158,
14,25.8019,63.9063,
15,25.6396,63.9010,
16,25.5154,63.9192,
17,25.3361,63.8549,
18,25.3736,63.8324,
19,25.3095,63.8148,
20,25.2481,63.8153,
21,25.1851,63.8138,
22,25.1898,63.8075,
23,25.1818,63.8084,
24,25.1887,63.8080,
25,25.2288,63.8077,
26,25.1962,63.8077,
27,25.3071,63.8077,
28,25.2142,63.8077,
29,25.1470,63.8077,
30,25.1389,63.8077,
31,25.1808,63.8077,
32,25.1633,63.8077,
33,25.1189,63.8077,
34,25.1690,63.8077,
35,25.2267,63.8077,
36,25.1788,63.8077,
37,25.1763,63.8077,
38,25.2238,63.8077,
39,25.1112,63.8077,
40,25.1762,63.8077,
test,,,42.3927
