epoch,train_ppl,valid_ppl,test_ppl
1,383.2288,211.9504,
2,144.2025,115.2533,
3,99.9896,95.0837,
4,80.5911,82.7584,
5,69.3702,76.2778,
6,62.5925,72.3698,
7,57.6315,71.7954,
8,53.5823,69.0895,
9,50.3767,69.3697,
10,42.8132,63.8326,
11,40.6223,63.4288,
12,39.2337,63.4339,
13,37.4578,62.4478,
14,36.9267,62.0209,
15,36.4384,62.1318,
16,36.0485,62.0468,
17,35.8773,62.0128,
18,35.8521,61.9615,
19,35.8310,61.9487,
20,35.6694,61.9367,
21,35.7335,61.9530,
22,35.6271,61.9467,
23,35.7055,61.9455,
24,35.7245,61.9449,
25,35.6223,61.9448,
26,35.7434,61.9448,
27,35.7068,61.9448,
28,35.7489,61.9448,
29,35.6110,61.9448,
30,35.6404,61.9448,
31,35.6683,61.9448,
32,35.6838,61.9448,
33,35.7172,61.9448,
34,35.6657,61.9448,
35,35.6877,61.9448,
36,35.8365,61.9448,
37,35.8139,61.9448,
38,35.7911,61.9448,
39,35.5718,61.9448,
40,35.7067,61.9448,
test,,,45.5273
