epoch,train_ppl,valid_ppl,test_ppl
1,427.7736,260.2102,
2,225.0140,178.8480,
3,186.6172,151.2155,
4,166.3268,139.1456,
5,154.7448,129.8214,
6,147.4157,124.4961,
7,142.1855,120.3711,
8,137.9410,119.0477,
9,134.0518,117.9526,
10,131.9314,116.7778,
11,129.8612,116.3400,
12,128.2235,112.8575,
13,126.9016,112.7862,
14,125.5284,111.5985,
15,123.6734,109.8799,
16,123.0805,109.6932,
17,122.1562,108.2974,
18,120.7878,108.4779,
19,113.2308,102.9489,
20,108.9154,102.4941,
21,106.7140,101.6728,
22,104.7453,101.4704,
23,103.7000,100.1441,
24,101.8067,100.5787,
25,100.7357,99.7174,
26,99.5570,99.2049,
27,98.8811,99.4071,
28,98.3177,99.1156,
29,98.1601,98.9759,
30,97.6273,99.0337,
31,97.7815,99.0351,
32,97.7441,99.0191,
33,97.8721,99.0158,
34,97.7207,99.0155,
35,97.8600,99.0152,
36,97.9960,99.0151,
37,97.4740,99.0151,
38,97.2345,99.0151,
39,97.6892,99.0151,
40,97.7304,99.0151,
test,,,95.1609
